"Time (ms)","Recording (a.u.)"
6.659707724E0,2.132023072E-1
6.680584551E0,2.318185980E-1
6.701461378E0,2.507400739E-1
6.722338205E0,2.691427351E-1
6.743215031E0,2.854396191E-1
6.764091858E0,3.001190222E-1
6.784968685E0,3.141270180E-1
6.805845511E0,3.282570879E-1
6.826722338E0,3.431806391E-1
6.847599165E0,3.578295236E-1
6.868475992E0,3.688467055E-1
6.889352818E0,3.729361858E-1
6.910229645E0,3.698232978E-1
6.931106472E0,3.617358928E-1
6.951983299E0,3.516342662E-1
6.972860125E0,3.419598987E-1
6.993736952E0,3.315530869E-1
7.014613779E0,3.165074618E-1
7.035490605E0,2.950224311E-1
7.056367432E0,2.678609577E-1
7.077244259E0,2.368846706E-1
7.098121086E0,2.062440870E-1
7.118997912E0,1.784112064E-1
7.139874739E0,1.527451399E-1
7.160751566E0,1.289407025E-1
7.181628392E0,1.064790796E-1
7.202505219E0,8.310190130E-2
7.223382046E0,5.963316752E-2
7.244258873E0,3.729361858E-2
7.265135699E0,1.562547685E-2
7.286012526E0,-3.234962004E-3
7.306889353E0,-1.870784631E-2
7.327766180E0,-3.271584216E-2
7.348643006E0,-4.489272744E-2
7.369519833E0,-5.487228004E-2
7.390396660E0,-6.399731437E-2
7.411273486E0,-7.202368236E-2
7.432150313E0,-7.904293954E-2
7.453027140E0,-8.737449263E-2
7.473903967E0,-9.576708274E-2
7.494780793E0,-1.016266366E-1
7.515657620E0,-1.046784875E-1
7.536534447E0,-1.051057466E-1
7.557411273E0,-1.049226356E-1
7.578288100E0,-1.091036714E-1
7.599164927E0,-1.187780389E-1
7.620041754E0,-1.310769982E-1
7.640918580E0,-1.439252907E-1
7.661795407E0,-1.551255837E-1
7.682672234E0,-1.644032105E-1
7.703549061E0,-1.754814295E-1
7.724425887E0,-1.911069063E-1
7.745302714E0,-2.110354930E-1
7.766179541E0,-2.340464492E-1
7.787056367E0,-2.573015534E-1
7.807933194E0,-2.773216956E-1
7.828810021E0,-2.934659871E-1
7.849686848E0,-3.064973907E-1
7.870563674E0,-3.177587207E-1
7.891440501E0,-3.292031617E-1
7.912317328E0,-3.411969359E-1
7.933194154E0,-3.517868587E-1
7.954070981E0,-3.579210791E-1
7.974947808E0,-3.580431532E-1
7.995824635E0,-3.519699698E-1
8.016701461E0,-3.412579730E-1
8.037578288E0,-3.287148656E-1
8.058455115E0,-3.158055361E-1
8.079331942E0,-3.019196142E-1
8.100208768E0,-2.866298410E-1
8.121085595E0,-2.685628834E-1
8.141962422E0,-2.460402234E-1
8.162839248E0,-2.204046754E-1
8.183716075E0,-1.933042390E-1
8.204592902E0,-1.659901730E-1
8.225469729E0,-1.406598102E-1
8.246346555E0,-1.178930021E-1
8.267223382E0,-9.558397168E-2
8.288100209E0,-7.415997803E-2
8.308977035E0,-5.413983581E-2
8.329853862E0,-3.473006378E-2
8.350730689E0,-1.803643910E-2
8.371607516E0,-4.943998535E-3
8.392484342E0,6.317331462E-3
8.413361169E0,1.550340281E-2
8.434237996E0,2.288888211E-2
8.455114823E0,3.067110202E-2
8.475991649E0,3.863643300E-2
8.496868476E0,4.602191229E-2
8.517745303E0,5.465865047E-2
8.538622129E0,6.402783288E-2
8.559498956E0,7.382427442E-2
8.580375783E0,8.618427076E-2
8.601252610E0,1.006195257E-1
8.622129436E0,1.155430769E-1
8.643006263E0,1.315958129E-1
8.663883090E0,1.482894375E-1
8.684759916E0,1.647999512E-1
8.705636743E0,1.829889828E-1
8.726513570E0,2.030701621E-1
8.747390397E0,2.237311930E-1
8.768267223E0,2.449720756E-1
8.789144050E0,2.656636250E-1
8.810020877E0,2.838831751E-1
8.830897704E0,3.003021332E-1
8.851774530E0,3.157139805E-1
8.872651357E0,3.307596057E-1
8.893528184E0,3.465071566E-1
8.914405010E0,3.622852260E-1
8.935281837E0,3.751335185E-1
8.956158664E0,3.826105533E-1
8.977035491E0,3.837092196E-1
8.997912317E0,3.794061098E-1
9.018789144E0,3.716544084E-1
9.039665971E0,3.629566332E-1
9.060542797E0,3.532212287E-1
9.081419624E0,3.407391583E-1
9.102296451E0,3.241065706E-1
9.123173278E0,3.024384289E-1
9.144050104E0,2.755211035E-1
9.164926931E0,2.463759270E-1
9.185803758E0,2.178716391E-1
9.206680585E0,1.913815729E-1
9.227557411E0,1.686147649E-1
9.248434238E0,1.485946226E-1
9.269311065E0,1.277809992E-1
9.290187891E0,1.059907834E-1
9.311064718E0,8.380382702E-2
9.331941545E0,6.152531510E-2
9.352818372E0,4.187139500E-2
9.373695198E0,2.542191839E-2
9.394572025E0,9.979552599E-3
9.415448852E0,-3.967406232E-3
9.436325678E0,-1.553392132E-2
9.457202505E0,-2.594073305E-2
9.478079332E0,-3.436384167E-2
9.498956159E0,-4.159672842E-2
9.519832985E0,-5.114902188E-2
9.540709812E0,-6.186101871E-2
9.561586639E0,-7.107760857E-2
9.582463466E0,-7.788323618E-2
9.603340292E0,-8.124027223E-2
9.624217119E0,-8.246101260E-2
9.645093946E0,-8.633686331E-2
9.665970772E0,-9.521774957E-2
9.686847599E0,-1.080660421E-1
9.707724426E0,-1.242103336E-1
9.728601253E0,-1.409649953E-1
9.749478079E0,-1.556749168E-1
9.770354906E0,-1.698660237E-1
9.791231733E0,-1.852778710E-1
9.812108559E0,-2.032837916E-1
9.832985386E0,-2.259895627E-1
9.853862213E0,-2.521134068E-1
9.874739040E0,-2.772606586E-1
9.895615866E0,-2.983184301E-1
9.916492693E0,-3.140354625E-1
9.937369520E0,-3.253578295E-1
9.958246347E0,-3.363139744E-1
9.979123173E0,-3.489791559E-1
1.000000000E1,-3.618274483E-1
